course_link,title,description,durations,timings,course_start,what_you_will_study,skills,target_students,prerequisite,contents,Faculty Name,Institute Name
https://talentedge.com/ecornell/certificate-course-data-analytics-360, Data Analytics 360 ,,,,,,,,,,,
https://talentedge.com/esgci-school-of-management-paris/doctorate-of-business-administration-esgci, Doctorate Of Business Administration,,,,,,,,,,,
https://talentedge.com/iim-raipur/certificate-course-strategic-management, Executive Development Program,,,,,,,,,,,
https://talentedge.com/iim-kozhikode/professional-certificate-program-in-strategic-management, Professional Certificate Program,,,,,,,,,,,
https://talentedge.com/iim-raipur/post-graduate-executive-certification-in-human-resource-management-iimr-hr, Executive Certificate Program,,,,,,,,,,,
https://talentedge.com/iim-raipur/certificate-course-strategic-management, Executive Development Program,,,,,,,,,,,
https://talentedge.com/iim-lucknow/advanced-program-in-strategic-management-for-business-excellence, Advanced Program,,,,,,,,,,,
https://talentedge.com/iiit-allahabad/big-data-analytics-machine-learning-course-iiit-allahabad, PG Certificate Program,,,,,,,,,,,
https://talentedge.com/iiit-allahabad/machine-learning-and-big-data-analytics-for-professionals-with-prior-python-knowledge, Machine Learning And Big Data Analytics (for Learners Familiar With Python),,,,,,,,,,,
https://talentedge.com/goa-institute-of-management/exectuive-pg-program-in-health-care-management, Executive Post Graduate Program,,,,,,,,,,,
